pca_1,pca_2,pca_3,pca_4
-481.989295472511,-51.10416567257961,-6.90722349860684,-19.427095184019908
-418.0173228299548,-53.2302860242566,-6.9392361871963075,-19.247164852492254
-483.03195840600205,-52.35561199329442,-7.4915333678791285,-19.310896621903435
-2.650685325945683,-67.49674730722585,-7.530084390301164,-24.51833683565651
145.22461601084032,-71.99947154770231,-7.262105047748338,-18.43564546300101
-2.391127640747643,-66.2811760516435,-6.515124209160137,-7.613047309488947
-483.03182741853584,-52.35462717943672,-7.4885327256490175,-19.299962571519448
-444.99913541288817,-52.30428846292934,-6.9021894167245055,-18.91103185722017
255.54363935726624,-76.29058923757817,-7.834883008107356,-26.78688322858469
-87.2251096947108,-64.51866514436827,-7.349994729475132,-22.450793325089045
-74.28528517648525,-64.02759961785117,-6.593485054247831,-9.691047188288175
-201.58698362235376,-60.30318085174083,-6.948167395251176,-17.020599066876
-383.9790930548214,-54.112206377990276,-6.750130880996282,-15.706333434219054
-414.0201157942303,-53.36868142258404,-6.9467877661223785,-19.305498253832976
-483.0318172872098,-52.353813838866024,-7.488384166756267,-19.300544461610247
-449.9958151711185,-52.13255377797533,-6.894550359012964,-18.84558633106326
-2.375650370007175,-66.21060632521453,-6.458195857539216,-6.629897056602077
-2.5586345659109138,-67.0662856340384,-7.1718346589613375,-18.549467912710654
-483.03213253320814,-52.35488129912877,-7.48735754159348,-19.295103117907253
-377.030043606712,-54.567955803616115,-6.939773289540856,-18.782639516639183
-466.9842348540885,-51.54941189069239,-6.870850918759047,-18.631463187426974
-483.0317643544018,-52.353368099547865,-7.487317266918207,-19.29383491918318
-326.0331289691285,-56.17369092330564,-6.895466890698294,-17.449582033751142
-405.99488714001984,-53.49912669359754,-6.837319067929088,-17.413976207989556
-418.9992777925625,-53.10341089648634,-6.832206368571947,-17.24442203622968
-446.9974904957772,-52.23516872828493,-6.9012538201875175,-18.89369658207033
-404.0113671493795,-53.64101413438252,-6.904606091907968,-18.455020051965764
