Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,New_Visitor,Other,Returning_Visitor
0.0,0.0002941392749466873,0.0,0.00045531120520876016,1.0,4.1858851116856936e-05,1.0,0.0,0.0,2,1.0,1,1,1,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.002720825322595701,0.0,0.0,0.0,2,2.0,2,1,2,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,4.0,1,9,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,4.1858851116856936e-05,0.25,0.0,0.0,2,3.0,2,2,4,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,10.0,0.026308287926944583,0.1,0.0,0.0,2,3.0,3,1,4,1,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,19.0,4.1858851116856936e-05,0.07894736999999999,0.0,0.0,2,2.0,2,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,2,2.0,4,3,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015906363424405634,0.0,0.0,0.8,2,2.0,2,2,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.030933690975357274,0.0,0.0,0.4,2,2.0,4,1,2,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.016576105042275347,0.0,0.0,0.0,2,1.0,1,3,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,16.0,0.017109805394015267,0.09375,0.0,0.4,2,1.0,1,4,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,7.0,0.011783266589395228,0.0,0.0,0.0,2,1.0,1,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,6.0,0.004144026260568837,0.0,0.0,0.0,2,2.0,5,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.002888260727063129,0.0,0.0,0.0,2,3.0,2,3,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1,4,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,13.0,4.1858851116856936e-05,0.0,0.0,0.0,2,1.0,1,1,4,1,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.001381342086856279,0.0,0.0,0.0,2,2.0,2,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,20.0,4.1858851116856936e-05,0.0,0.0,0.0,2,2.0,4,4,4,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,4.1858851116856936e-05,0.0,0.0,1.0,2,2.0,2,5,1,1,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,3.0,3,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0044370382183868354,0.0,0.0,0.0,2,3.0,2,1,5,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0006697416178697111,0.0,0.0,0.8,2,2.0,4,1,3,0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,2.0,2,4,1,1,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,5.0,0.006571839625346539,0.0,0.0,0.0,2,1.0,1,9,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.003223131535997984,0.25,0.0,0.0,2,1.0,1,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.0026789664714788443,0.0,0.0,0.2,2,99.0,6,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015069186402068494,0.0,0.0,0.0,2,1.0,1,6,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0033068492382316967,0.0,0.0,0.0,2,1.0,2,6,6,1,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,0.008811288160098385,0.0,0.0,0.0,2,2.0,2,1,1,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,10.0,4.1858851116856936e-05,0.2,0.0,0.0,2,1.0,1,3,1,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,14.0,0.01596915170108092,0.07142857,0.0,0.0,2,2.0,2,1,1,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,52.0,4.1858851116856936e-05,0.07692307500000001,0.0,0.0,2,2.0,2,7,1,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,0.016283093084457346,0.125,0.0,0.0,2,3.0,2,1,4,1,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,7.0,0.0026789664714788443,0.142857145,0.0,0.6,2,2.0,2,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,9.0,0.0202178250894419,0.0,0.0,0.0,2,2.0,5,1,6,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0009627535756877095,0.0,0.0,0.6,2,1.0,1,3,2,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,15.0,4.1858851116856936e-05,0.0,0.0,0.0,2,1.0,1,4,4,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.001465059789089993,0.0,0.0,0.4,2,3.0,2,2,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.0037254377494002674,0.0,0.0,0.0,2,4.0,1,1,3,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,22.0,0.02608852895858109,0.015151515,0.0,0.2,2,2.0,5,1,4,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,14.0,0.009351267339505838,0.085714285,0.0,0.0,2,1.0,1,1,2,0,0.0,0.0,1.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0033905669404654115,0.333333335,0.0,0.2,2,3.0,2,1,3,0,0.0,0.0,1.0
