,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,"('New_Visitor',)","('Other',)","('Returning_Visitor',)"
0,0.0,0.0002941392749466873,0.0,0.00045531120520876016,1.0,4.1858851116856936e-05,1.0,0.0,0.0,2,1.0,1,1,1,0,0,0.0,0.0,1.0
1,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0027208253225957007,0.0,0.0,0.0,2,2.0,2,1,2,0,0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,4.0,1,9,3,0,0,0.0,0.0,1.0
3,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,4.1858851116856936e-05,0.25,0.0,0.0,2,3.0,2,2,4,0,0,0.0,0.0,1.0
4,0.0,0.0002941392749466873,0.0,0.00045531120520876016,10.0,0.026308287926944583,0.1,0.0,0.0,2,3.0,3,1,4,1,0,0.0,0.0,1.0
5,0.0,0.0002941392749466873,0.0,0.00045531120520876016,19.0,4.1858851116856936e-05,0.07894736999999999,0.0,0.0,2,2.0,2,1,3,0,0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,2,2.0,4,3,3,0,0,0.0,0.0,1.0
7,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015906363424405636,0.0,0.0,0.8,2,2.0,2,2,3,0,0,0.0,0.0,1.0
8,0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.030933690975357274,0.0,0.0,0.4,2,2.0,4,1,2,0,0,0.0,0.0,1.0
9,0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.016576105042275347,0.0,0.0,0.0,2,1.0,1,3,3,0,0,0.0,0.0,1.0
10,0.0,0.0002941392749466873,0.0,0.00045531120520876016,16.0,0.01710980539401527,0.09375,0.0,0.4,2,1.0,1,4,3,0,0,0.0,0.0,1.0
11,0.0,0.0002941392749466873,0.0,0.00045531120520876016,7.0,0.011783266589395228,0.0,0.0,0.0,2,1.0,1,1,3,0,0,0.0,0.0,1.0
12,0.0,0.0002941392749466873,0.0,0.00045531120520876016,6.0,0.004144026260568837,0.0,0.0,0.0,2,2.0,5,1,3,0,0,0.0,0.0,1.0
13,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0028882607270631286,0.0,0.0,0.0,2,3.0,2,3,3,0,0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.0,1,4,3,0,0,0.0,0.0,1.0
15,0.0,0.0002941392749466873,0.0,0.00045531120520876016,13.0,4.1858851116856936e-05,0.0,0.0,0.0,2,1.0,1,1,4,1,0,0.0,0.0,1.0
16,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.001381342086856279,0.0,0.0,0.0,2,2.0,2,1,3,0,0,0.0,0.0,1.0
17,0.0,0.0002941392749466873,0.0,0.00045531120520876016,20.0,4.1858851116856936e-05,0.0,0.0,0.0,2,2.0,4,4,4,0,0,0.0,0.0,1.0
18,0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,4.1858851116856936e-05,0.0,0.0,1.0,2,2.0,2,5,1,1,0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,3.0,3,1,3,0,0,0.0,0.0,1.0
20,0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0044370382183868354,0.0,0.0,0.0,2,3.0,2,1,5,0,0,0.0,0.0,1.0
21,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.000669741617869711,0.0,0.0,0.8,2,2.0,4,1,3,0,0,0.0,0.0,1.0
22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,2.0,2,4,1,1,0,0.0,0.0,1.0
23,0.0,0.0002941392749466873,0.0,0.00045531120520876016,5.0,0.006571839625346539,0.0,0.0,0.0,2,1.0,1,9,3,0,0,0.0,0.0,1.0
24,0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.003223131535997984,0.25,0.0,0.0,2,1.0,1,1,3,0,0,0.0,0.0,1.0
25,0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.002678966471478844,0.0,0.0,0.2,2,99.0,6,1,3,0,0,0.0,0.0,1.0
26,0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015069186402068497,0.0,0.0,0.0,2,1.0,1,6,3,0,0,0.0,0.0,1.0
27,0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0033068492382316975,0.0,0.0,0.0,2,1.0,2,6,6,1,0,0.0,0.0,1.0
28,0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,0.008811288160098385,0.0,0.0,0.0,2,2.0,2,1,1,0,0,0.0,0.0,1.0
29,0.0,0.0002941392749466873,0.0,0.00045531120520876016,10.0,4.1858851116856936e-05,0.2,0.0,0.0,2,1.0,1,3,1,0,0,0.0,0.0,1.0
30,0.0,0.0002941392749466873,0.0,0.00045531120520876016,14.0,0.01596915170108092,0.07142857,0.0,0.0,2,2.0,2,1,1,0,0,0.0,0.0,1.0
31,0.0,0.0002941392749466873,0.0,0.00045531120520876016,52.0,4.1858851116856936e-05,0.07692307500000001,0.0,0.0,2,2.0,2,7,1,0,0,0.0,0.0,1.0
32,0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,0.016283093084457346,0.125,0.0,0.0,2,3.0,2,1,4,1,0,0.0,0.0,1.0
33,0.0,0.0002941392749466873,0.0,0.00045531120520876016,7.0,0.002678966471478844,0.142857145,0.0,0.6,2,2.0,2,1,3,0,0,0.0,0.0,1.0
