Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,New_Visitor,Other,Returning_Visitor,PageValues
0.0,0.0002941392749466873,0.0,0.00045531120520876016,1.0,4.1858851116856936e-05,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0027208253225957007,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0201193350409857,0.25,0.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,10.0,0.026308287926944583,0.1,0.0,2.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,19.0,0.0201193350409857,0.07894736999999999,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,2.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015906363424405636,0.0,0.8,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.030933690975357274,0.0,0.4,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.016576105042275347,0.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,16.0,0.01710980539401527,0.09375,0.4,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,7.0,0.011783266589395228,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,6.0,0.004144026260568837,0.0,0.0,2.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0028882607270631286,0.0,0.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,13.0,0.0201193350409857,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.001381342086856279,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,20.0,0.0201193350409857,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,8.0,0.0201193350409857,0.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0044370382183868354,0.0,0.0,2.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.000669741617869711,0.0,0.8,2.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,5.0,0.006571839625346539,0.0,0.0,2.0,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.003223131535997984,0.25,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,4.0,0.002678966471478844,0.0,0.2,2.0,99.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,2.0,0.0015069186402068497,0.0,0.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0002941392749466873,0.0,0.00045531120520876016,3.0,0.0033068492382316975,0.0,0.0,2.0,1.0,2.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0
