pca_1,pca_2,pca_3,pca_4,Revenue
-481.989295472511,-51.104165672579605,-6.90722349860684,-19.427095184019908,0.0
-418.01732282995476,-53.2302860242566,-6.939236187196308,-19.247164852492258,0.0
-483.03195840600205,-52.355611993294424,-7.491533367879127,-19.310896621903435,0.0
-2.650685325945683,-67.49674730722585,-7.530084390301164,-24.51833683565651,0.0
145.22461601084032,-71.99947154770231,-7.262105047748338,-18.435645463001006,0.0
-2.391127640747643,-66.28117605164351,-6.515124209160138,-7.613047309488947,0.0
-483.0318274185358,-52.35462717943672,-7.4885327256490175,-19.299962571519444,0.0
-444.9991354128882,-52.304288462929335,-6.9021894167245055,-18.911031857220166,0.0
255.54363935726622,-76.29058923757817,-7.834883008107355,-26.786883228584692,0.0
-87.2251096947108,-64.51866514436827,-7.349994729475133,-22.450793325089045,0.0
-74.28528517648525,-64.02759961785117,-6.593485054247831,-9.691047188288177,0.0
-201.58698362235378,-60.303180851740834,-6.9481673952511755,-17.020599066876,0.0
-383.97909305482136,-54.11220637799027,-6.750130880996283,-15.706333434219054,0.0
-414.02011579423043,-53.36868142258404,-6.946787766122378,-19.305498253832976,0.0
-483.0318172872098,-52.353813838866024,-7.488384166756267,-19.300544461610244,0.0
-2.4826769891279024,-66.70964294294053,-6.873122470797929,-13.580626358223649,0.0
-449.99581517111864,-52.13255377797533,-6.894550359012964,-18.84558633106326,0.0
-2.375650370007175,-66.21060632521453,-6.4581958575392155,-6.629897056602078,0.0
-2.5586345659109138,-67.0662856340384,-7.1718346589613375,-18.549467912710654,0.0
-483.03213253320814,-52.35488129912877,-7.4873575415934805,-19.295103117907253,0.0
-377.03004360671196,-54.567955803616115,-6.939773289540856,-18.782639516639186,0.0
-466.98423485408847,-51.54941189069239,-6.8708509187590465,-18.631463187426974,0.0
-483.03176435440184,-52.35336809954787,-7.4873172669182075,-19.29383491918318,0.0
-326.0331289691285,-56.17369092330565,-6.895466890698293,-17.449582033751142,0.0
-405.99488714001984,-53.49912669359754,-6.837319067929088,-17.413976207989556,0.0
-418.9992777925625,-53.10341089648634,-6.832206368571947,-17.24442203622968,0.0
-446.9974904957772,-52.23516872828493,-6.901253820187517,-18.893696582070326,0.0
-404.0113671493795,-53.641014134382516,-6.904606091907967,-18.455020051965768,0.0
-272.5237974484153,-57.79465558018283,-6.786970931677783,-15.121028379308223,0.0
-2.5281419371874754,-66.92264650062874,-7.051242001455649,-16.55665796965266,0.0
-101.54753390135225,-63.234682831639944,-6.671483662762747,-11.3212773183698,0.0
-1.8871195952688038,-63.92294341239226,-4.549517582591584,25.186586305579887,0.0
-94.14448949141413,-63.92267384960121,-7.041852353981803,-17.391272494604465,0.0
-418.94042294010615,-52.83932030485833,-6.64034419173748,-14.26756794302259,0.0
-0.1924138144516511,-67.07815278613978,-7.117236293140466,-17.596030714889295,0.0
-459.97356383230766,-51.71696892634476,-6.820898496846821,-17.725144320386427,0.0
-2.4519912623698277,-66.56698550839586,-6.7556195897533895,-11.598869524789253,0.0
-447.9972471954327,-52.201794326673664,-6.898064147726461,-18.872947899648423,0.0
-394.003387497889,-53.91248553727695,-6.85469718282098,-17.565641216452665,0.0
140.16152924490447,-70.96178073609035,-6.539507369968069,-6.441222684969165,0.0
-259.54093250079,-57.808619850567354,-6.447828145483695,-9.322840872278958,0.0
-402.01305875926647,-53.70899418748981,-6.903055989434183,-18.45910961927496,0.0
-2.5133365101319245,-66.85321266919979,-6.9922515697329874,-15.565752326482885,0.0
-483.0318832035543,-52.35393701303772,-7.487498677406487,-19.295366649327267,0.0
-483.031943645478,-52.35419617639011,-7.488395236434048,-19.30187518243402,0.0
-2.4980791063372187,-66.7817938623207,-6.932626900631685,-14.571667952664667,0.0
-452.9934499619288,-52.0295093570272,-6.891613554746562,-18.81143298654606,0.0
-322.0518161884706,-56.38366747284424,-6.957449620993088,-18.479808180746964,0.0
-2.62015918395838,-67.3539502981811,-7.410471278279029,-22.528541888899767,0.0
-481.9893848435543,-51.10601078677014,-6.909226253448261,-19.435698112455842,0.0
-481.98953758705096,-51.10645758183965,-6.910077057992472,-19.43880334797584,0.0
-378.0133256608391,-54.461423520772485,-6.880845562333237,-17.781619297755622,0.0
-313.0269609696388,-56.54812083541455,-6.85093416317852,-16.60736774196436,0.0
-81.35283569991186,-64.36041096194401,-7.0589781040430575,-17.54951334174005,0.0
224.23268401302752,-74.42456337912535,-7.137425722822311,-15.46738038946297,0.0
-483.03189361459056,-52.35442878159512,-7.488702242124646,-19.300999484657776,0.0
-481.9891575439123,-51.10505860917808,-6.909759403595136,-19.436040493477098,0.0
419.66205927771324,-80.84873462523133,-7.175281605355688,-13.96239327433441,0.0
-481.98953589882166,-51.10641663054489,-6.910076527934147,-19.43878883685638,0.0
-481.98919477761723,-51.10570284563372,-6.908960099345861,-19.43321909049401,0.0
-2.375220062084302,-66.2094328076677,-6.457738829382167,-6.62459880307215,0.0
-439.0031248024479,-52.51022002212563,-6.911243632053405,-18.989093724815774,0.0
-2.5586788828496267,-67.06684845132696,-7.171843941422494,-18.549891173475142,0.0
-347.04976869645276,-55.5963623624767,-6.982342590933992,-19.16074660657487,0.0
-2.4366480957188834,-66.4947124227743,-6.693083758125812,-10.589332045369764,0.0
-406.0255107665437,-53.64329752536738,-6.958122078667139,-19.406787026617515,0.0
-481.98943899472505,-51.10520358384008,-6.908440253235794,-19.434116784651767,0.0
-481.98943144165145,-51.10520473140978,-6.908524231009803,-19.434184639293154,0.0
-274.0386546235353,-57.8174635413599,-6.8470465177461355,-16.109509977552538,0.0
-212.12568460125058,-60.15722841367935,-7.1121681232665095,-19.86999294627961,0.0
-442.4398335710395,-52.10418196094356,-6.6666743831060895,-14.964121007291983,0.0
-107.07431939775344,-63.18948024919586,-6.784731006474119,-13.24612668511597,0.0
-481.9893259999937,-51.1048540851182,-6.908012119863254,-19.42960673791821,0.0
