pca_1,pca_2,pca_3,pca_4,Revenue
-240.55138427958406,-56.975197519756286,-15.8168484712819,-26.5610744260764,0
-176.55757350242624,-57.666367384201806,-15.387075940565072,-25.49430100301445,0
-241.56133318305825,-58.200256048581196,-16.50732763923109,-26.46173593532177,0
-240.55176566906073,-56.91667743190288,-15.749602330744295,-25.57959130029581,0
386.887305725021,-63.79378934031827,-11.651854193418357,-16.873476409547404,0
-240.56587996580322,-55.88166196958185,-14.549961268531568,-8.659736655452512,0
-241.5614545921397,-58.19942487685552,-16.50432975019319,-26.45093211540312,0
-203.55504164823617,-57.350012410170315,-15.54035664374146,-25.53186696955716,0
497.383417761457,-65.5150752060184,-11.521678519461954,-23.700029395877785,0
154.4131370794648,-61.489703157099875,-13.454091597794008,-24.11313648257179,0
167.15144131740686,-60.84858731731287,-12.466557722274585,-11.165632861063827,0
39.9196067315029,-59.902736620203186,-13.81585534416041,-20.265437113872345,0
-142.5633910127532,-57.822579090833514,-14.914969691081666,-21.478895494348045,0
-172.55768145686616,-57.71422731414544,-15.366516570300606,-25.49720307450375,0
-241.56164168687198,-58.19875841163194,-16.504072696816845,-26.451371768318346,0
-240.5609262924406,-56.24645769415033,-14.973073605305729,-14.632219624645156,0
-208.5546930519408,-57.2912682047552,-15.567971946376135,-25.53584627696992,0
-240.56614133842226,-55.82131009865692,-14.482150125953558,-7.6748808901512335,0
-240.55674516544366,-56.54994680453867,-15.325898763684103,-19.60464860757041,0
-241.56175783785372,-58.199872737453866,-16.50328025204065,-26.446946822485433,0
-135.5616570345884,-58.08845015629271,-15.08803588297686,-24.461599142110984,0
-225.55301564744784,-57.09192247794183,-15.66409403096726,-25.556863154979478,0
-241.56180721213136,-58.198413363533575,-16.50297249568175,-26.44483604571727,0
-84.5673022167621,-58.56332737775343,-14.662107832406427,-22.418449334310164,0
-164.56021386968118,-57.6854090781139,-15.178847023999579,-23.49307135060205,0
-177.56203321712033,-57.58303546483829,-15.27305139030986,-23.536236769653897,0
-205.55460491451294,-57.32589352303494,-15.55332412701628,-25.5412002966293,0
-162.55874073099667,-57.770928770297346,-15.242920742813475,-24.506187352141197,0
-31.07521339653348,-59.008421218385955,-14.144163701363366,-19.348321034399227,0
-240.55860691346973,-56.42771521047936,-15.18355804242906,-17.610325063011665,0
139.90504496380862,-60.650147370032194,-12.758366118477506,-13.175652724047232,0
-240.59269730388144,-53.87344517250748,-12.225802686194964,24.169100465547196,0
147.40959556695898,-61.10486286283489,-13.14125511533197,-19.147288600311207,0
-177.5614832219595,-57.35096974678024,-15.04100671407462,-20.52434491082543,0
241.40120245896136,-62.147621379755414,-12.543323384183218,-18.048863683359123,0
-218.55465495000075,-57.11216073530458,-15.553764280588577,-24.552405426609308,0
-240.56230460453762,-56.1248288624171,-14.833782726019567,-12.64815407505918,0
-206.55481748172502,-57.315276339366775,-15.557447393876094,-25.535656062410297,0
-152.5613584774107,-57.82775430045137,-15.111886594425163,-23.479589828031386,0
381.62816113514856,-63.001868524742925,-10.835897334612584,-4.940966013880048,0
-18.181216358030703,-58.79471201191274,-13.648937248188098,-13.366242436367866,0
-160.55970824036348,-57.794256775171434,-15.227409959482781,-24.48421510957639,0
-240.55934567922023,-56.36879592947532,-15.114024731589936,-16.619556679772845,0
-241.56176517529232,-58.198946235021836,-16.503245619095033,-26.446590278821017,0
-241.561631851863,-58.19914035780461,-16.50415881954724,-26.452933093526337,0
-240.56016665386792,-56.30798848465895,-15.043545786135759,-15.624629956219708,0
-211.55410314684366,-57.25574284343584,-15.586054776529139,-25.54236065594851,0
-80.56741208593327,-58.67271096251265,-14.707174201515805,-23.39643695861075,0
-240.55338767004972,-56.795095138609426,-15.608304144110358,-23.588169052151926,0
-240.55089850072494,-56.97668395128004,-15.819038148863727,-26.56965450475222,0
-240.5509700662099,-56.97714386134904,-15.819921566585698,-26.572973510492062,0
-136.56175183980088,-58.014687573527375,-15.024987030290097,-23.471653046029317,0
-71.569745674088,-58.65512996759879,-14.515257752751491,-21.396594083664407,0
160.20836234001843,-61.25364397874541,-13.067964772039161,-19.12771781962379,0
465.8774426035756,-64.47696880304592,-10.926790117012196,-12.806894499530722,0
-241.561575490983,-58.19930585012265,-16.504468901241324,-26.452031968887674,0
-240.55098539549303,-56.97577557835091,-15.819366420546107,-26.56942596954334,0
661.3574949673944,-66.5281132310108,-9.543460185631483,-8.591351874054597,0
-240.550970931449,-56.97710616008861,-15.819915828803923,-26.57295292364602,0
-240.55080418673495,-56.97631729323714,-15.81871507140742,-26.566881431977276,0
-240.56609766837326,-55.820107908499615,-14.481480546972913,-7.6688508617289965,0
-197.55547947512068,-57.42037856897237,-15.507093115213484,-25.526638782253883,0
-240.55658658694327,-56.55041046439656,-15.32600413516508,-19.605201264731523,0
-105.5640687767345,-58.43921057437783,-14.918934460406899,-24.42324239009297,0
-240.5634297675381,-56.06337556956456,-14.760384592883206,-11.63825076570042,0
-164.55837286614303,-57.80816110811556,-15.321476020293254,-25.487722458689493,0
-240.55118129931245,-56.97608988607211,-15.818180827285863,-26.568159788735013,0
-240.5511671451853,-56.97608052089398,-15.818261417618329,-26.56820992227931,0
-32.57401715721902,-59.054273140354596,-14.226035285144517,-20.359325751183487,0
29.422981688375565,-59.962077912394555,-14.086439562351945,-23.262776996691738,0
-201.0586268474761,-57.13596298178876,-15.243807845694802,-21.54713639162726,0
134.4073768290319,-60.707753651022784,-12.932091620034434,-15.178090840718012,0
-240.551248957619,-56.97576669110917,-15.817695238806722,-26.56360990218144,0
